,id,top_words
0,eVYGrjcrvU8,"['taylor', 'milkshak', 'luggag', 'plessi', 'jungl', 'ferguson', 'nordstrom', 'lip', 'vietnames', 'surf']"
1,16d0WPgkxAA,"['taylor', 'jimmi', 'butler', 'prophylact', 'a.d', 'burr', 'worker', 'lebron', 'objectifi', 'zinc']"
2,3V5xV8V5JUA,"['lamb', 'taylor', 'snl', 'panther', 'hamilton', 'whitak', 'sheep', 'secretari', 'hick', 'theater']"
3,bfx_5H43bu4,"['taylor', 'sudan', 'xbox', 'b-o-m-m', 'amin', 'malaria', 'sudanes', 'dangl', 'microsoft', 'letter']"
4,I7XyUhimj0w,"['cathol', 'candac', 'dre', 'cardi', 'dr', '000', 'taylor', 'honeymoon', '250', 'creativ']"
5,outO_NqpO4E,"['adel', 'bullet', 'beyonc', 'brad', 'blacker', 'pregnant', 'pitt', 'pregnanc', 'ventil', 'abras']"
6,XLRvGK9Pn0o,"['yorker', 'tori', 'yuppi', 'stallion', 're-elect', 'neighbor', 'protest', 'manhattan', 'meg', 'civilian']"
7,iWkfNpfrQUk,"['hoe', 'kamala', 'willi', 'sugar', 'vod', 'theater', 'biolog', 'michel', 'outfit', 'kamal']"
8,Cj6-F_RXHX0,"['graffiti', 'wettest', 'egg', 'banksi', 'meg', 'cardi', 'matrix', 'art', 'fertil', 'fetish']"
9,Po683HuNP2E,"['3d', 'tock', 'antic', 'predict', 'self-driv', 'robot', 'eminem', 'tick', 'callan', 'data']"
10,spi2t6p5_FY,"['rope', 'dmx', 'spacecraft', 'wed', 'zoom', 'usher', 'prostitut', 'rogan', 'barbado', 'alien']"
11,6vtX2AGBYH8,"['pedophil', 'kany', 'timberland', 'tori', 'abort', 'soro', 'fouchi', 'clinton', 'racist', 'deutsch']"
12,EmURkjZ5sJ4,"['nativ', 'helix', 'mattress', 'dakota', 'jada', 'montauk', 'tran', 'entangl', 'armpit', 'permiss']"
13,dXCI_wDx7Lw,"['royal', 'maxwel', 'redskin', 'pedophil', 'kany', 'dakota', 'england', 'hampshir', 'spacey', 'tran']"
14,xdJbnD6ygII,"['gap', 'playlist', 'cam', 'yeezi', 'karen', 'bubbl', 'newton', 'bundl', 'album', 'spotifi']"
15,wInYSQnqttM,"['escobar', 'patient', 'budden', 'khalifa', 'underag', 'dm', 'nascar', 'statu', 'prescrib', 'dynam']"
16,JvH50aLPQzk,"['chappel', 'bachelor', 'undercov', 'weapon', 'dorner', 'yoga', 'kyri', 'tulsa', 'prolif', 'hannah']"
17,jEoBN_DaKDw,"['defund', 'polic', 'ethiopia', 'norm', 'nobel', 'advil', 'spell', 'escal', 'revolut', 'cop']"
18,ufgniiXQJ_c,"['loot', 'protest', 'refurbish', 'polic', 'epstein', 'cop', 'donat', 'democrat', 'prosecut', 'mural']"
19,meEvvqDQ3FM,"['cemeteri', 'effort', 'botox', 'mule', 'leash', 'bird-watch', 'biden', 'lanc', 'isaiah', 'surgeri']"
20,Gn-kVxf1aAg,"['portnoy', 'ip', 'newton', 'aid', 'scientist', 'vaccin', 'clay', 'acceler', 'graviti', 'nelson']"
21,TScapkyN6Z0,"['pizza', 'jordan', 'reggi', 'poison', 'phil', 'sloan', 'kerr', 'pippen', 'miller', 'scotti']"
22,clBQwtkWj1c,"['coma', 'cuisin', 'feeni', 'rage', 'seinfeld', 'threshold', 'civilian', 'ferguson', 'takashi', 'whisper']"
23,ZtzF6l3s4BA,"['jordan', 'pippen', 'grudg', 'phil', 'kerr', 'burrel', 'bull', 'horac', 'teammat', 'basebal']"
24,JJKpzM9v8OE,"['perri', 'cage', 'dalton', 'spoon', 'soprano', 'tyler', 'coppola', 'gut', 'nicola', 'repost']"
25,sihU52MSJe0,"['jordan', 'isaiah', 'gambl', 'adida', 'mormon', 'snicker', 'addict', 'kobe', 'barack', 'paxson']"
26,GRI3DdRZAFU,"['shaq', 'rodman', 'contest', 'slave', 'draft', 'ginger', 'diss', 'sam', 'dunk', 'draymond']"
27,uIRk0CjkdSw,"['scotti', 'rodman', 'phil', 'mj', 'piston', 'jordan', 'madonna', 'robin', 'horac', 'nag']"
28,PzNWhLS6eb4,"['switzerland', 'protest', 'kati', 'jong', 'relay', 'poland', 'zion', 'sneaker', 'teresa', 'kim']"
29,FokINN_ytkc,"['scotti', 'gm', 'pippen', 'jordan', 'phil', 'kraus', 'empti', 'ego', 'jerri', 'tank']"
30,NPaBgjKdKSs,"['dessert', 'cracker', 'berni', 'ellen', 'appet', 'oc', 'towel', 'nascar', 'obes', 'palin']"
31,Y4AhzM_vE0k,"['phd', 'dawkin', 'yaya', 'exploit', 'penguin', 'md', 'entrap', 'domest', 'vaccin', 'alfr']"
32,luRh6rmEbq8,"['drake', 'degrass', 'documentarian', 'domest', 'photoshop', 'mask', 'interven', 'neil', 'sophi', 'condom']"
33,s7OTOaRUZQI,"['jeff', 'tiger', 'bradi', 'zoo', 'rescu', 'carol', 'belichick', 'four-day', 'cat', 'da']"
34,N2HNNpsXT4Y,"['calculu', 'untuck', 'algebra', 'hooker', 'mississippi', 'hopkin', 'quarantin', 'quarterback', 'disabl', 'humbl']"
35,p7S3d0o1Mek,"['kimmel', 'german', 'chrissi', 'ridgewood', 'portland', 'shipstat', 'late-night', 'funnel', 'cereal', 'yani']"
36,jvGpbYrLCXU,"['romo', 'elk', 'jona', 'belichick', 'jab', 'cbd', 'manscap', 'latin', 'erni', 'toboggan']"
37,7zoGy8yskUc,"['furi', 'joshua', 'wilder', 'phelp', 'earnest', 'kg', 'immort', 'mj', 'refin', 'daughter']"
38,7O0yLXMyUhc,"['candl', 'furi', 'joshua', 'tampon', 'mexico', 'haney', 'harvest', 'taco', 'kenni', 'guin']"
39,XNDS69o1DlA,"['pastor', 'stallion', '49er', 'doughboy', 'remedi', 'troy', 'premier', 'clipper', 'cbd', 'bradi']"
40,88lsDDynjJk,"['kansa', 'empow', 'earnest', 'kobe', 'saudi', '75', 'waitress', 'shakira', 'brendan', 'sag']"
41,r6M_Fiw35Dw,"['pyramid', 'egypt', 'cbd', 'cairo', 'morocco', 'kleenex', 'bradi', 'renaiss', 'jamaica', 'tile']"
42,bRuUBIsTxdA,"['marshawn', 'lynch', 'christma', 'morgan', 'seahawk', 'princess', 'cardiac', 'eddi', 'kauai', 'mario']"
43,n7_ACcMOaMc,"['eminem', 'colbi', 'ufc', 'yada', 'oprah', 'brawni', 'hoard', 'journey', 'disciplin', 'ab']"
44,21KfEceKa-k,"['snl', 'audit', 'shane', 'louie', 'lorn', 'packet', 'chink', 'januari', 'nbc', 'django']"
45,_7qBpA2Ah1c,"['kyri', 'holocaust', 'vine', 'kati', 'kd', 'hypnot', 'sack', 'manscap', 'gato', 'versac']"
46,pVpcWZ2lQxc,"['kany', 'mandi', 'costum', 'wheezi', 'kaz', 'dolomit', 'lesbian', 'sissi', 'nippl', 'jay-z']"
47,GinbcrEdCsg,"['bmx', 'ray', 'brussel', 'jumper', 'j', 'bradi', 'oprah', 'threesom', 'rudd', 'sprout']"
48,w55bVpzcnts,"['mall', 'beatl', 'algorithm', 'columbu', 'kaepernick', 'snapshot', 'mccaffrey', 'colin', 'font', 'china']"
49,RT1yWfRwBdM,"['baker', 'odel', 'jarvi', 'espresso', 'yacht', 'decoy', 'fadeaway', 'moxi', 'whittak', 'landri']"
50,RZd3lb45O-s,"['australia', 'aborigin', 'perth', 'booki', 'slut', 'grass', 'australian', 'melbourn', 'sydney', 'shack']"
51,I2WoZWGRFb0,"['snl', 'furi', 'tyson', 'cilantro', 'punch', 'shane', 'kickbox', 'gypsi', 'autograph', 'spar']"
