,id,title,number,published,guests,main,likes,dislikes,views,commentCount
0,6540Nct67uw,Joe Rogan Experience #1571 - Emily Harrington,1571.0,2020-11-27T18:00:01Z,Emily Harrington,True,14276,960,999045,3946
1,bvzs-VbEzds,Joe Rogan Experience #1570 - Willie D & Mike Judge,1570.0,2020-11-25T18:00:26Z,Willie D & Mike Judge,True,18062,1351,1230183,6335
2,CHXIQhvI8cw,Joe Rogan Experience #1569 - John Mackey,1569.0,2020-11-24T18:00:02Z,John Mackey,True,19961,4814,1492106,13619
3,2Wk6SL4ofG0,Joe Rogan Experience #1568 - Tom Green,1568.0,2020-11-20T18:00:01Z,Tom Green,True,32754,1798,2254148,14013
4,C7t_LxpzYTg,Joe Rogan Experience #1567 - Donnell Rawlings & Dave Chappelle,1567.0,2020-11-19T18:00:01Z,Donnell Rawlings & Dave Chappelle,True,139783,8702,6923358,42576
5,Sc5oa6MqPDg,Joe Rogan Experience #1566 - Nicholas Christakis,1566.0,2020-11-18T18:00:04Z,Nicholas Christakis,True,15833,7645,1186133,12044
6,GmHwG2p_esE,Joe Rogan Experience #1565 - Gary Laderman,1565.0,2020-11-17T18:00:06Z,Gary Laderman,True,17251,1542,1443785,5184
7,J68gMp9nVE0,Joe Rogan Experience #1564 - Adam Alter,1564.0,2020-11-13T18:00:03Z,Adam Alter,True,11806,1063,1020228,3960
8,th17n7kjBYg,Joe Rogan Experience #1563 - Tony Hinchcliffe,1563.0,2020-11-12T18:00:21Z,Tony Hinchcliffe,True,23138,2789,2204756,7548
9,5PrLGhJnO7I,Joe Rogan Experience #1562 - Dave Smith,1562.0,2020-11-11T18:00:01Z,Dave Smith,True,35090,4293,2182555,13194
10,C8M1ZRYt-2Q,Joe Rogan Experience #1561 - Kermit Pattison,1561.0,2020-11-10T18:00:02Z,Kermit Pattison,True,12519,1422,1020880,4258
11,jH4dl2coorM,Joe Rogan Experience #1560 - Mike Baker,1560.0,2020-11-07T18:00:06Z,Mike Baker,True,37704,7832,3155668,15979
12,surnFz_pZE4,Joe Rogan Experience #1559 - Steven Rinella,1559.0,2020-11-05T18:00:06Z,Steven Rinella,True,30047,2109,2381487,6148
13,KkjxSKrcbOg,JRE End Of The World #2,2.0,2020-11-04T04:34:03Z,,False,186607,12674,9949047,23773
14,3sFl7J3xskY,JRE MMA Show #98 with Luke Thomas,98.0,2020-11-03T18:00:00Z,,False,27332,2218,1811949,7720
15,OaTKaHKCAFg,Joe Rogan Experience #1558 - Tristan Harris,1558.0,2020-10-30T17:00:13Z,Tristan Harris,True,61347,4742,6048529,13617
16,4ugp6FBq6E0,Joe Rogan Experience #1557 - Gad Saad,1557.0,2020-10-29T17:00:01Z,Gad Saad,True,36466,2900,2120936,9695
17,t0rcLsoIKgA,Joe Rogan Experience #1556 - Glenn Greenwald,1556.0,2020-10-28T17:00:11Z,Glenn Greenwald,True,42492,2679,1785548,12677
18,jdVso9FSkmE,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon,1555.0,2020-10-27T21:00:11Z,Alex Jones & Tim Dillon,True,394049,19184,14956624,156532
19,qxOeWuAHOiw,Joe Rogan Experience #1554 - Kanye West,1554.0,2020-10-24T17:00:07Z,Kanye West,True,315686,27673,11626727,120999
20,cz0ka4DuxPw,Joe Rogan Experience #1553 - Maynard James Keenan,1553.0,2020-10-23T19:13:49Z,Maynard James Keenan,True,26336,2229,1673684,8481
21,BBCl9A9NlRw,Joe Rogan Experience #1552 - Matthew McConaughey,1552.0,2020-10-22T21:37:34Z,Matthew McConaughey,True,100929,3144,4398716,16467
22,s8tJ-R28HX8,Joe Rogan Experience #1551 - Paul Saladino,1551.0,2020-10-16T17:00:29Z,Paul Saladino,True,28952,3512,2233927,14251
23,a_7s1EKhSwo,Joe Rogan Experience #1550 - Wesley Hunt,1550.0,2020-10-15T17:00:00Z,Wesley Hunt,True,38468,4008,2227263,12561
24,-D2bNqpLbtE,Joe Rogan Experience #1549 - Tom Papa,1549.0,2020-10-14T17:00:01Z,Tom Papa,True,18543,4622,1653520,9713
25,wC5TVZ3p_H4,Joe Rogan Experience #1548 - Roy Jones Jr.,1548.0,2020-10-13T17:00:17Z,Roy Jones Jr.,True,49199,1800,2844494,9834
26,ckjwkCbGIu8,Joe Rogan Experience #1547 - Colin Quinn,1547.0,2020-10-08T17:00:16Z,Colin Quinn,True,25509,2663,2017733,10525
27,A9PfeA9qFp8,Joe Rogan Experience #1546 - Evan Hafer & Mat Best,1546.0,2020-10-07T17:00:03Z,Evan Hafer & Mat Best,True,35233,2126,2132363,7549
28,j-bSjzIPRro,Joe Rogan Experience #1545 - W. Keith Campbell,1545.0,2020-10-06T17:00:08Z,W. Keith Campbell,True,28306,2335,2283380,7522
29,ikJq6wcgrXI,Joe Rogan Experience #1544 - Tim Dillon,1544.0,2020-10-01T17:00:09Z,Tim Dillon,True,51088,4098,3235067,16059
30,gzAQ7SklDxo,Joe Rogan Experience #1543 - Brian Muraresku & Graham Hancock,1543.0,2020-09-30T17:00:16Z,Brian Muraresku & Graham Hancock,True,71799,3081,3686555,16492
31,EURQLMDNdw8,Joe Rogan Experience #1542 - Cameron Hanes,1542.0,2020-09-29T17:03:34Z,Cameron Hanes,True,28222,4220,2471971,10297
32,DYpotjw_KTw,Joe Rogan Experience #1541 - Bridget Phetasy,1541.0,2020-09-24T17:00:02Z,Bridget Phetasy,True,32924,5540,2680610,13033
33,Kv3dsPkTvhY,Joe Rogan Experience #1540 - Frank von Hippel,1540.0,2020-09-23T17:00:04Z,Frank von Hippel,True,30735,2477,2254999,11645
34,EED-LEWOCv0,Joe Rogan Experience #1539 - Jenny Kleeman,1539.0,2020-09-22T17:00:07Z,Jenny Kleeman,True,15996,6690,1346881,12140
35,t7uqHosIj4s,Joe Rogan Experience #1538 - Douglas Murray,1538.0,2020-09-17T17:00:11Z,Douglas Murray,True,69268,5831,3182848,23454
