,id,title,number,published,guests,main,likes,dislikes,views,commentCount
0,W7wJDJ56c88,DeepMind solves protein folding | AlphaFold 2,,2020-12-02T22:39:08Z,,False,9998,64,152252,864
1,bgNzUxyS-kQ,"Manolis Kellis: Meaning of Life, the Universe, and Everything | Lex Fridman Podcast #142",142.0,2020-11-30T19:52:50Z,Manolis Kellis,True,2838,160,88539,577
2,ipQBP1wRFNM,10 things I'm grateful for this Thanksgiving,,2020-11-27T03:03:49Z,,False,2913,43,35984,396
3,NOReE-3EBhI,"Erik Brynjolfsson: Economics of AI, Social Networks, and Technology | Lex Fridman Podcast #141",141.0,2020-11-25T18:00:29Z,Erik Brynjolfsson,True,2838,103,91745,402
4,Lks97-GLElk,Comma.ai Drive and Tour with George Hotz and Lex Fridman,,2020-11-23T19:32:08Z,,False,5303,72,95293,576
5,_ySbzVXiwzQ,How to learn and master a new skill,,2020-11-21T19:54:40Z,,False,10019,78,137279,615
6,S_AFc_BXht4,"Lisa Feldman Barrett: Love, Evolution, and the Human Brain | Lex Fridman Podcast #140",140.0,2020-11-20T17:56:15Z,Lisa Feldman Barrett,True,2860,94,94310,425
7,Ktj050DxG7Q,Andrew Huberman: Neuroscience of Optimal Performance | Lex Fridman Podcast #139,139.0,2020-11-16T16:06:18Z,Andrew Huberman,True,8164,124,313506,975
8,SOr1YYRljV8,Yaron Brook: Ayn Rand and the Philosophy of Objectivism | Lex Fridman Podcast #138,138.0,2020-11-13T14:42:37Z,Yaron Brook,True,5270,657,175043,2566
9,WxfA1OSev4c,"Alex Filippenko: Supernovae, Dark Energy, Aliens & the Expanding Universe | Lex Fridman Podcast #137",137.0,2020-11-08T00:03:40Z,Alex Filippenko,True,10211,513,455035,1731
10,-k-ztNsBM54,Dan Carlin: Hardcore History | Lex Fridman Podcast #136,136.0,2020-11-03T03:07:14Z,Dan Carlin,True,20612,886,975514,3063
11,LAyZ8IYfGxQ,"Charles Isbell: Computing, Interactive AI, and Race in America | Lex Fridman Podcast #135",135.0,2020-11-02T01:08:30Z,Charles Isbell,True,3053,169,93113,427
12,o2nG7-eXxko,"Eric Weinstein: On the Nature of Good and Evil, Genius and Madness | Lex Fridman Podcast #134",134.0,2020-10-30T03:57:16Z,Eric Weinstein,True,24117,957,871985,4681
13,Aq9UPIXbtKI,Manolis Kellis: Biology of Disease | Lex Fridman Podcast #133,133.0,2020-10-25T23:17:54Z,Manolis Kellis,True,2669,52,86833,362
14,BOIxl0kJmV4,Programming Meme Review with George Hotz,,2020-10-23T23:31:35Z,,False,5467,169,126408,360
15,_L3gNaAVjQ4,George Hotz: Hacking the Simulation & Learning to Drive with Neural Nets | Lex Fridman Podcast #132,132.0,2020-10-22T01:09:25Z,George Hotz,True,11739,315,348383,1921
16,nWTvXbQHwWs,Chris Lattner: The Future of Computing and Programming Languages | Lex Fridman Podcast #131,131.0,2020-10-19T01:59:53Z,Chris Lattner,True,4548,76,143037,436
17,nAMjv0NAESM,Scott Aaronson: Computational Complexity and Consciousness | Lex Fridman Podcast #130,130.0,2020-10-12T06:20:12Z,Scott Aaronson,True,2848,94,94353,581
18,NbdRIVCBqNI,Lisa Feldman Barrett: Counterintuitive Ideas About How the Brain Works | Lex Fridman Podcast #129,129.0,2020-10-04T18:10:14Z,Lisa Feldman Barrett,True,5793,219,178516,858
19,BIk1zUy8ehU,"Michael Malice: Anarchy, Democracy, Libertarianism, Love, and Trolling | Lex Fridman Podcast #128",128.0,2020-10-02T15:18:13Z,Michael Malice,True,14305,878,550091,3715
20,FKCJWkPehdY,"Joe Rogan: Conversations, Ideas, Love, Freedom & the Joe Rogan Experience | Lex Fridman Podcast #127",127.0,2020-09-26T17:01:46Z,Joe Rogan,True,35253,896,929393,3651
21,IT__Nrr3PNI,"James Gosling: Java, JVM, Emacs, and the Early Days of Computing | Lex Fridman Podcast #126",126.0,2020-09-24T14:32:48Z,James Gosling,True,3927,63,100802,403
22,8U0XzOco7D0,Jiu Jitsu Meme Review with Ryan Hall,,2020-09-22T22:40:21Z,,False,8312,263,298732,515
23,hhEwWghH_XM,"Ryan Hall: Martial Arts and the Philosophy of Violence, Power, and Grace | Lex Fridman Podcast #125",125.0,2020-09-20T21:56:41Z,Ryan Hall,True,7664,296,279775,1120
24,-t1_ffaFXao,"Stephen Wolfram: Fundamental Theory of Physics, Life, and the Universe | Lex Fridman Podcast #124",124.0,2020-09-15T23:37:00Z,Stephen Wolfram,True,7231,140,228694,1132
25,iw1obNGEt5E,Thoughts on Joe Rogan's New Texas Studio | Lex Fridman,,2020-09-13T14:00:07Z,,False,14991,859,505369,1997
