,id,data
0,W7wJDJ56c88,"{1: 0.17638634471273948, 2: 0.5669941715237303, 3: 0.0, 4: 0.07870108243130725, 6: 0.0, 7: 0.1438467943380516, 5: 0.0, 0: 0.021582014987510334}"
1,bgNzUxyS-kQ,"{3: 0.02097269856361855, 4: 0.005488301809908782, 5: 0.8987953750551798, 2: 1.2733878909199775e-05, 1: 0.0010356888179565461, 0: 0.0003438147305511313, 6: 0.008722707052870926, 7: 0.05520985432442582, 8: 0.008642059153112114}"
2,ipQBP1wRFNM,"{6: 0.954312865497076, 7: 0.0010233918128654262, 5: 0.0, 4: 0.0, 3: 0.009137426900584722, 1: 0.005847953216374435, 0: 0.00021929824561406353, 2: 0.002266081871345027}"
3,NOReE-3EBhI,"{1: 0.037862126181103364, 0: 0.0004287328994036256, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.9524496238843199, 7: 0.007655944632208533}"
4,Lks97-GLElk,"{1: 0.022121796289858713, 2: 0.009385962140125562, 0: 0.0011692949467496765, 3: 0.018993142243149668, 4: 0.475713427930347, 5: 0.43690547672470975, 6: 0.00041083335966901613, 7: 0.0, 8: 0.0, 9: 6.320513225677171e-05}"
5,_ySbzVXiwzQ,"{7: 0.96310623556582, 8: 0.0013279445727482075, 6: 0.0, 5: 0.0, 4: 0.0, 3: 0.00721709006928406, 2: 0.001963048498845321, 1: 0.004387990762124483, 0: 0.000173210161662829}"
6,S_AFc_BXht4,"{2: 0.2606065821664357, 1: 0.0005409326170071997, 0: 0.0008113989255111205, 3: 0.7101256848739671, 4: 0.011380074829012266, 5: 2.8685820598839396e-05, 6: 0.01537150186662728}"
7,Ktj050DxG7Q,"{2: 0.021688180835840336, 1: 0.0008834438246548733, 0: 0.0003723606203091326, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.256505359072456, 9: 0.7164327852574387}"
8,SOr1YYRljV8,"{2: 0.021554941529274514, 3: 0.0009134004688134603, 1: 1.9643020834833602e-05, 0: 0.00022262090279318025, 4: 0.0, 5: 0.0, 6: 0.8144094653169726, 7: 0.15963555648678066, 8: 0.0010738184722967892}"
9,WxfA1OSev4c,"{2: 0.019599728871606464, 3: 0.0011094859262959639, 1: 3.2107309764209044e-05, 0: 0.00024258856266272562, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.9779815204594913}"
10,-k-ztNsBM54,"{1: 0.01743900487298764, 0: 0.00020695021605606628, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.3572816123353364, 8: 0.6237038018134364}"
11,LAyZ8IYfGxQ,"{2: 0.018724377625025688, 3: 0.2402253416638652, 1: 0.0009659707813158766, 0: 0.00031683841627156914, 4: 0.7227006997492337, 5: 0.01118980553076206, 6: 0.0028090430320663884, 7: 3.8638831252602035e-06, 8: 1.9319415626321834e-05, 9: 0.0017657945882452938}"
12,o2nG7-eXxko,"{2: 0.02088501757938221, 1: 0.0005919092793907812, 0: 0.00045929572499169014, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.27797418240509264, 7: 0.6988249145289471}"
13,Aq9UPIXbtKI,"{6: 0.008758213066307051, 5: 0.009536481794967537, 7: 0.004142398071901977, 8: 0.003504002524890212, 4: 7.172983674329225e-06, 3: 1.0759475511507716e-05, 2: 0.00044831147964319307, 1: 0.00042679252861998335, 0: 0.0002833328551342558, 9: 0.9725346455111468}"
14,BOIxl0kJmV4,"{2: 0.023644258502107603, 1: 0.005324712370447959, 0: 0.0034230293810022412, 3: 0.0, 4: 0.0, 5: 0.24436626414376694, 6: 0.2585021076986469, 7: 0.11752400874774184, 8: 0.13647744920921662, 9: 0.01841463028113203, 10: 0.14034420462108962, 11: 0.035529777186143224}"
15,_L3gNaAVjQ4,"{2: 0.01308727104636342, 3: 0.004492952894656708, 1: 0.0007360669879846408, 0: 0.00023554143615506576, 4: 2.944267951998647e-06, 5: 0.0, 6: 0.46978445014324, 7: 0.5099854847589966}"
16,nWTvXbQHwWs,"{3: 0.020311592469848715, 2: 2.0499504595091617e-05, 1: 0.000837063104308193, 0: 0.0002767433120367518, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.9784379377498378}"
17,nAMjv0NAESM,"{8: 0.8138415750689766, 7: 0.0011746879426673303, 6: 0.00412621479020971, 5: 0.17759998420587636, 3: 0.0, 2: 0.0, 1: 3.948530899720512e-05, 0: 0.0003158824719778873, 4: 0.0}"
18,NbdRIVCBqNI,"{2: 0.013934452210019387, 3: 0.20446441306518331, 4: 0.4510372589106017, 1: 2.7734195470641154e-05, 0: 0.00029319006640356193, 5: 0.3196247167150056, 6: 2.7734195470634215e-05, 7: 0.0015650010301272374, 8: 0.0031656603115738646}"
19,BIk1zUy8ehU,"{1: 0.020876005066561044, 2: 0.00089524025975821, 3: 0.5490040105654959, 4: 0.42045249821922087, 0: 0.0002051014836598579, 5: 0.0017932521611878638, 6: 8.314925013297447e-06, 7: 0.0012943566603935697, 8: 0.0013996790438943751}"
20,FKCJWkPehdY,"{4: 0.01550580188817109, 5: 0.00624031800777477, 6: 0.0023675211177038753, 3: 3.653581971760356e-05, 2: 3.653581971777703e-05, 1: 0.0018560196416565963, 0: 0.0008110951977318634, 7: 0.0015418115920848782, 8: 0.28691579224271524, 9: 0.0016148832315201825, 10: 0.6807938502908258}"
21,IT__Nrr3PNI,"{1: 0.04612835236574249, 2: 0.0017071595568394077, 0: 0.000400506640900751, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.9485248839782325, 7: 2.0025332045037203e-05, 8: 0.0017472102209294404}"
22,8U0XzOco7D0,"{3: 0.06880715135112973, 2: 0.00024603272235215745, 1: 0.006888916225857973, 0: 0.0043055726411612635, 4: 0.01578709968425781, 5: 0.08676754008283133, 8: 0.1595932258990445, 7: 0.26313199655554154, 6: 0.07672120392012141, 9: 0.298273670398163}"
23,hhEwWghH_XM,"{3: 0.03407707219186247, 4: 0.15997934870491193, 2: 1.948235385799968e-05, 1: 0.0005869059099720478, 0: 0.0002070000097410818, 5: 0.7135826100509463, 6: 0.08284140389841882, 7: 0.00661912972325307, 8: 2.4352942322725113e-06, 9: 1.2176471161251534e-05}"
24,-t1_ffaFXao,"{1: 0.029707833617580264, 0: 0.00014756942614472732, 2: 0.001214285563704634, 3: 0.010361481850014717, 4: 0.06040227425567103, 5: 0.4803553471781559, 6: 0.4097180791520233, 7: 0.005325148149163489}"
25,iw1obNGEt5E,"{7: 0.9429041998353006, 6: 0.0007319974380089467, 5: 0.0, 4: 0.0, 3: 0.0, 2: 0.011345960289138812, 1: 0.010430963491627754, 0: 0.0005489980785066129}"
26,t06rkOOUa7g,"{3: 0.049321793488877996, 4: 0.003495078012859013, 5: 0.01677042900702388, 2: 0.0005393376763464797, 1: 0.0004968701427758362, 0: 0.00033549351520767434, 6: 0.3172537095390574, 7: 0.60052914546829, 8: 0.005656675471602195, 9: 0.0010064805456228704}"
27,aB8zcAttP1E,"{3: 0.032923629592709995, 2: 1.1755080545884644e-05, 1: 0.0005830519950720987, 0: 0.00019278332095132647, 4: 0.10365630025296928, 5: 0.847122826485606, 6: 0.002087702304935813, 7: 0.0010979245229787368, 8: 0.009996520496158401, 9: 0.0013894505205149787}"
28,8rc0QljS_sM,"{7: 0.9816802200792042, 6: 0.0, 5: 0.0, 4: 0.0, 3: 0.0, 2: 0.0, 1: 0.0}"
29,_AGPbvCDBCk,"{3: 0.038145215736819546, 4: 0.0013287915055545125, 2: 1.8412815319446274e-05, 1: 0.000398944331921898, 0: 0.0005984164978823162, 5: 3.0688025531855345e-06, 6: 0.0, 7: 0.0, 8: 0.0011508009574664468, 9: 0.5980359663659237, 10: 0.3591511692137717}"
30,aJgZgisiUsY,"{8: 0.5648308470964312, 7: 0.4171217368140649, 6: 0.0, 5: 0.0, 4: 0.0, 3: 0.0020811134789556762, 2: 0.0005660628662760292, 1: 0.0012653169952050458, 0: 8.324453915831143e-05}"
31,PUAdj3w3wO4,"{2: 0.04754599570022571, 1: 5.4017263917530145e-05, 0: 0.00024487826309297495, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.9392197746399749, 8: 5.76184148451675e-05, 9: 0.005700621918765185, 10: 0.006096748520827311}"
32,0m3hGZvD-0s,"{6: 0.6918307577268195, 3: 0.0027573529411764885, 1: 0.28134346959122625, 2: 0.0020251744765703295, 4: 0.00685443668993016, 5: 0.005109670987038878}"
33,386s-y1aRRo,"{2: 0.06028864442361566, 3: 0.0031133694001831574, 1: 5.481284155257199e-05, 0: 0.0003727273225570052, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.924994107619533, 8: 0.009614172408311639}"
34,amCsM265Lw0,"{1: 0.06649924660974384, 0: 0.003817177297840285, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.019186338523355204, 7: 0.04560522350577631, 8: 0.21838272225012562, 9: 0.42511300853842293, 10: 0.09050728277247613, 11: 0.06117528879959819}"
35,U_6AYX42gkU,"{1: 0.053024729293436476, 2: 0.0016315967143018025, 0: 0.004159056876509366, 3: 0.0, 4: 3.029489920455125e-05, 5: 0.5496273727397832, 6: 0.38249474167106706, 7: 3.0294899204585946e-05, 8: 0.0048558395582138925}"
36,HPfPFM1wNmE,"{0: 0.0643389085581736, 1: 0.05347332438041752, 2: 0.0, 3: 0.22146258088145526, 4: 0.0, 5: 0.22488096691490672, 7: 0.003784641679892675, 8: 0.3644243682090097, 6: 0.00805762422170675, 9: 0.012941032840922961}"
37,qfKyNxfyWbo,"{1: 0.03319774018420079, 2: 0.2839862495313057, 0: 0.00023946737414582558, 3: 0.6632553068805912, 4: 0.001758194668069188, 5: 0.00491223205648942, 6: 0.003406108308572353, 7: 0.0074707518960460545}"
38,U41dkEpj6NU,"{10: 0.7090227222589895, 9: 0.0008824178248400399, 8: 0.0, 6: 0.0, 5: 0.17979263181116267, 7: 0.00044120891241994364, 3: 0.016765938671961078, 1: 0.00022060445620997182, 0: 0.0011030222810500812, 2: 0.00044120891241994364, 4: 0.006618133686300487}"
39,-jA2ABHBc6Y,"{2: 0.05951325738923019, 3: 0.307628333497478, 1: 0.0014225840692470154, 0: 0.0004431896523424475, 4: 0.4710613571452024, 5: 0.09250079336419206, 6: 0.012360066970880712, 7: 0.020797084796953524, 8: 0.016036899642165536, 9: 0.01368963592790795}"
40,tg_m_LxxRwM,"{1: 0.044363745113536905, 0: 0.00029906222630472074, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0023497746352507676, 6: 0.940298634994553, 7: 0.009728066989938597, 8: 0.0015893021169333388}"
41,amXXYgu0eFY,"{1: 0.046738072054527756, 2: 0.001135994806880758, 3: 0.17997403440441426, 5: 0.1658552418046088, 8: 0.2546251217137294, 6: 0.002271989613761849, 7: 0.2805907172995782, 4: 0.005030834144758245, 0: 0.00048685491723476915}"
42,A22Ej6kb2wo,"{2: 0.03510869171466485, 1: 0.00045446013100309754, 0: 0.0006586378710191146, 3: 0.31602433008295494, 4: 0.6164422358121177, 5: 0.015448351264749343, 6: 0.006727985852458145, 7: 0.005272396157506416, 8: 0.0009583181023325726, 9: 0.000908920262006202, 10: 0.0006191195987577114}"
43,belS2Ek4-ow,"{2: 0.12263262530082661, 3: 0.47692790624673015, 4: 0.039238254682431806, 5: 0.09846186041644878, 8: 0.0, 10: 0.20927069163963585, 9: 0.0, 6: 0.0014648948414773821, 1: 0.0003139060374590663, 0: 0.0003139060374596214, 7: 0.011091346656900702}"
44,kpiY_LemaTc,"{2: 0.12222746578574795, 3: 0.0004719207173193851, 5: 0.32263646374075805, 7: 0.010696869592574987, 9: 0.19820670127418594, 4: 0.010539562686802006, 6: 0.044517854333805396, 8: 0.23014000314613825, 0: 0.0, 1: 0.0}"
45,brslF-Cy3HU,"{3: 0.02124263855148316, 4: 0.01044274718283903, 2: 0.0004910732554813182, 1: 0.00042410872064274976, 0: 0.00029389990290113605, 5: 0.16718440172768612, 6: 0.0827532840523986, 7: 0.7132057782953062}"
46,pDSEjaDCtOU,"{2: 0.05846224361177955, 1: 5.041824223658842e-05, 0: 0.00032084335968836364, 3: 0.189953019365188, 4: 0.7454291279935827, 5: 1.3750429700920552e-05, 6: 1.3750429700948308e-05, 7: 0.0037859516443222163}"
47,KN2TTiGpDvM,"{0: 0.004721176873075568, 1: 0.2344166951761888, 2: 0.34970920287375973, 3: 0.044543277454669794, 4: 0.037427300718440026, 5: 0.08142319534724596, 7: 0.0, 8: 0.22169004447485452, 6: 0.0}"
48,KllCrlfLuzs,"{1: 0.03731528649930044, 0: 0.00034861881582903473, 2: 0.0, 3: 0.0, 4: 0.1534227831111617, 5: 0.7933474814469426, 6: 0.013325954235064885}"
