,id,top_words
0,Aq9UPIXbtKI,"['gene', 'genom', 'variant', 'genet', 'perturb', 'diseas', 'cell', 'alzheim', 'rna', 'crispr']"
1,_L3gNaAVjQ4,"['comma', 'ethereum', 'waymo', 'tesla', 'fork', 'monitor', 'pilot', 'disengag', 'georg', 'driver']"
2,nAMjv0NAESM,"['np', 'p', 'penros', 'bqp', 'tour', 'conscious', 'quantum', 'polynomi', 'consciou', 'uncomput']"
3,NbdRIVCBqNI,"['infant', 'metabol', 'emot', 'categori', 'brain', 'darwin', 'lisa', 'empathi', 'budget', 'carbohydr']"
4,BIk1zUy8ehU,"['trump', 'troll', 'libertarian', 'rape', 'anarchi', 'conspiraci', 'biden', 'alt-right', 'epstein', 'anarch']"
5,FKCJWkPehdY,"['jiu', 'jitsu', 'gun', 'martial', 'guard', 'comedi', 'duncan', 'judo', 'violenc', 'self-defens']"
6,IT__Nrr3PNI,"['emac', 'tico', 'java', 'cabl', 'c', 'arpanet', 'emax', 'jerk', 'lisp', 'pointer']"
7,hhEwWghH_XM,"['jitsu', 'jiu', 'martial', 'coach', 'conor', 'belt', 'bj', 'khabib', 'fight', 'dune']"
8,t06rkOOUa7g,"['rat', 'rna', 'embrac', 'gene', 'epigenom', 'neanderth', 'dna', 'europa', 'greek', 'poem']"
9,aB8zcAttP1E,"['airplan', 'tic', 'tac', 'radar', 'hornet', 'fli', 'squadron', 'navi', 'pilot', 'feet']"
10,_AGPbvCDBCk,"['replica', 'chatbot', 'loneli', 'eugenia', 'roman', 'avatar', 'lone', 'moscow', 'therapist', 'russia']"
11,PUAdj3w3wO4,"['iq', 'psychometr', 'arc', 'instanc', 'prior', 'compress', 'skill', 'cognit', 'exam', 'bottleneck']"
12,386s-y1aRRo,"['malleabl', 'plastic', 'livewir', 'infrar', 'psychiatri', 'schizophrenia', 'augustinian', 'umvelt', 'incognito', 'synaps']"
13,U_6AYX42gkU,"['feynman', 'exponenti', 'shave', 'topolog', 'doordash', 'lake', 'mobiu', 'script', 'video', 'epidem']"
14,qfKyNxfyWbo,"['heidegg', 'kierkegaard', 'becker', 'death', 'skidmor', 'denial', 'reciproc', 'jordan', 'ernest', 'anxieti']"
15,-jA2ABHBc6Y,"['planet', 'exoplanet', 'telescop', 'shade', 'starshad', 'oxygen', 'liquid', 'earth-lik', 'gase', 'sun']"
16,tg_m_LxxRwM,"['cortic', 'captcha', 'cortex', 'infer', 'column', 'neurosci', 'neuron', 'model', 'recurs', 'circuit']"
17,A22Ej6kb2wo,"['barefoot', 'contact', 'actuat', 'atla', 'robot', 'humanoid', 'feet', 'drake', 'darpa', 'soft']"
18,brslF-Cy3HU,"['genom', 'protein', 'rna', 'mutat', 'gene', 'virus', 'viru', 'immun', 'cell', 'inherit']"
19,pDSEjaDCtOU,"['christian', 'fission', 'fusion', 'plasma', 'reactor', 'loyalti', 'energi', 'magnet', 'god', 'reaction']"
20,KllCrlfLuzs,"['np', 'polynomi', 'cliqu', 'p', 'claus', 'combinatori', 'algorithm', 'graph', 'circuit', 'fingerprint']"
21,LRYkH-fAVGE,"['vision', 'child', 'segment', 'skateboard', 'bottom-up', '3d', 'unknown', 'reconstruct', 'supervis', 'top-down']"
22,O9upVbGSBFo,"['unix', 'bell', 'awk', 'editor', 'file', 'assembl', 'programm', 'languag', 'ken', 'javascript']"
