,id,top_words
0,ZyphV0K5Nyg,"['drumlin', 'tyson', 'sneez', '18.', 'chair', 'queen', 'king', 'batman', 'thanksgiv', 'stamps.com']"
1,0wft2Cer-eE,"['queef', 'lavar', 'vanessa', 'deandr', 'handstand', 'tucker', 'levar', 'hopkin', 'mcshea', 'lonzo']"
2,zmBpIeGSGkw,"['bomba', 'headach', 'knive', 'migrain', 'cartoon', 'skirt', 'sock', 'kamikoto', 'hume', 'hugh']"
3,-efcimTSpUo,"['furri', 'beep', 'bauer', 'epstein', 'isaiah', 'goldfish', 'demolish', 'salt', 'ugli', 'trevor']"
4,o2CEgzxS3Ro,"['hall', 'cv', 'browni', 'barber', 'pitt', 'barbara', 'jenga', 'dimpl', 'brad', 'thanksgiv']"
5,GBG98xGB7Yw,"['democrat', 'presid', 'trump', 'cash', 'relief', 'vote', 'cupcak', 'congress', 'folk', 'tax']"
6,Ys1Dgbse08k,"['larussa', 'queef', 'famer', 'pastor', 'viagra', 'ymhstudios.com', 'nfl', 'sox', 'fitzgerald', 'beep']"
7,iWT6bnbBk8o,"['drown', 'peptid', 'bub', 'birthday', 'e-bik', 'lighthous', 'paco', 'gift', 'ipad', 'swing']"
8,oZ0m6gUuagI,"['plaster', 'theragun', 'queef', 'pica', 'tock', 'roach', 'ssri', 'ligament', 'expressvpn', 'motel']"
9,x14R1yzpdCQ,"['franchis', 'accomplic', 'vinci', 'xyz', 'hamper', 'buffalo', 'undercarriag', 'dream', 'nevada', 'marvel']"
10,Kw3qG4-vnmw,"['nfl', 'footbal', 'coach', 'trent', 'khalil', 'gonzalez', 'player', 'basketbal', 'quip', 'play']"
11,njepyPXyXZo,"['juggalo', 'dr', 'vagina', 'stamps.com', 'costello', 'drew', 'shaggi', 'marki', 'magazin', 'hellofresh.com']"
12,DvGhR_P3Iy0,"['keyboard', 'looper', 'm-audio', 'pre-covet', 'secur', 'advisori', 'sauvag', 'rc', 'drum', 'laptop']"
13,9ZLRyOTh-xY,"['megan', 'greg', 'drive-in', 'pronounc', 'buffet', 'french', 'pepperoni', 'rainbow', 'compet', 'garth']"
14,illMCYzmoag,"['costum', 'holocaust', 'arbi', 'moana', 'offens', 'bader', 'ginsburg', 'flasher', 'victim', 'pastor']"
15,ANEjCOcnYwo,"['ralph', 'megabu', 'blade', 'trump', 'dxl', 'polo', 'versatil', 'mortgag', 'bear', 'cuomo']"
16,32lOIMZc2Hc,"['fresca', 'revolut', 'measl', 'bonobo', 'ration', 'mormon', 'jew', 'overeat', 'dew', 'reproduct']"
17,kWZZTMMpAdY,"['pickl', 'mtv', '3am', 'biodom', 'minogu', 'barrel', '6am', 'rooney', 'vj', 'mal']"
18,HspJ2pBG9hM,"['18.', 'pauli', 'moscow', 'jerusalem', 'cheek', 'fuck', 'talkspac', 'queen', 'polyokey', 'butt']"
19,uIuO0juVYZA,"['queef', 'parachut', 'leonard', 'oj', 'smuggl', 'submit', 'kiwi', 'tubin', 'fitzpatrick', 'zoom']"
20,OPEdba2YnUg,"['juri', 'cinnabon', 'glove', 'oj', 'juror', 'pepsi', 'bear', 'duti', 'woodi', 'o.j']"
21,3lLG9fVA6cc,"['dr', 'arteri', 'lion', 'candid', 'sherri', 'doll', 'queen', '18.', 'hedren', 'drew']"
22,Z0GCa9vguH4,"['yo', 'tow', 'sedaki', 'bazillion', 'synchron', 'creativ', 'bryce', 'aretha', 'sled', 'davidson']"
23,lyS3nJEsvqE,"['megan', 'dive', 'duke', 'codi', 'model', 'app', 'wedg', 'doordash', 'video', 'darman']"
24,f7D7PtwKYmE,"['licoric', 'queef', 'locksmith', 'cage', 'donahu', 'candi', 'eagl', 'arrest', 'manhol', '9-1-1']"
25,A8shlKVXGQ8,"['serv', 'surf', 'archeri', 'mayor', 'basketbal', 'tenni', 'octob', 'sprint', 'scholarship', 'tristan']"
26,uIvaxG66D4E,"['aid', 'magazin', 'dramat', '244', '188', 'gr', 'fifti', 'loss', 'unprotect', 'weight']"
27,GrahBcGVGZo,"['ration', 'revolut', 'upstart', 'androgen', 'steroid', 'dr', 'iv', 'expressvpn', 'immun', 'liquid']"
28,9qUuYpEEkDY,"['jung', 'mariah', 'carey', 'ken', 'malkin', 'shea', 'crosbi', 'shay', 'cathart', 'bobbi']"
29,m6n0yosPxjc,"['tunisia', 'rv', 'bogo', 'dealership', 'brothel', 'phallic', 'queen', 'roy', '18.', 'seam']"
30,Z4t81etgx3k,"['wilson', 'dahmer', 'tate', 'scarver', 'lebron', 'delant', 'queef', 'elk', 'jeffrey', 'cleveland']"
31,a44ZVwyml2o,"['ice', 'tenni', 'virgil', 'astronaut', 'condiment', 'moat', 'undi', 'retweet', 'kickstart', 'shoe']"
32,kIHJhubTc5o,"['chalk', 'hipster', 'paul', 'clinki', 'pre-gentrif', 'artesian', 'bushel', 'archbishop', 'ridgewood', 'roberta']"
