,id,title,number,published,guests,main,likes,dislikes,commentCount
0,6540Nct67uw,Joe Rogan Experience #1571 - Emily Harrington,1571.0,2020-11-27T18:00:01Z,Emily Harrington,True,2400,139,798
1,bvzs-VbEzds,Joe Rogan Experience #1570 - Willie D & Mike Judge,1570.0,2020-11-25T18:00:26Z,Willie D & Mike Judge,True,15953,1208,5709
2,CHXIQhvI8cw,Joe Rogan Experience #1569 - John Mackey,1569.0,2020-11-24T18:00:02Z,John Mackey,True,17885,4382,12258
3,2Wk6SL4ofG0,Joe Rogan Experience #1568 - Tom Green,1568.0,2020-11-20T18:00:01Z,Tom Green,True,31691,1732,13653
4,C7t_LxpzYTg,Joe Rogan Experience #1567 - Donnell Rawlings & Dave Chappelle,1567.0,2020-11-19T18:00:01Z,Donnell Rawlings & Dave Chappelle,True,136931,8467,41970
5,Sc5oa6MqPDg,Joe Rogan Experience #1566 - Nicholas Christakis,1566.0,2020-11-18T18:00:04Z,Nicholas Christakis,True,15578,7579,11958
6,GmHwG2p_esE,Joe Rogan Experience #1565 - Gary Laderman,1565.0,2020-11-17T18:00:06Z,Gary Laderman,True,17051,1534,5164
7,J68gMp9nVE0,Joe Rogan Experience #1564 - Adam Alter,1564.0,2020-11-13T18:00:03Z,Adam Alter,True,11736,1060,3954
8,th17n7kjBYg,Joe Rogan Experience #1563 - Tony Hinchcliffe,1563.0,2020-11-12T18:00:21Z,Tony Hinchcliffe,True,23035,2781,7592
9,5PrLGhJnO7I,Joe Rogan Experience #1562 - Dave Smith,1562.0,2020-11-11T18:00:01Z,Dave Smith,True,34962,4284,13200
10,C8M1ZRYt-2Q,Joe Rogan Experience #1561 - Kermit Pattison,1561.0,2020-11-10T18:00:02Z,Kermit Pattison,True,12474,1420,4265
11,jH4dl2coorM,Joe Rogan Experience #1560 - Mike Baker,1560.0,2020-11-07T18:00:06Z,Mike Baker,True,37584,7820,15999
12,surnFz_pZE4,Joe Rogan Experience #1559 - Steven Rinella,1559.0,2020-11-05T18:00:06Z,Steven Rinella,True,29898,2102,6150
13,KkjxSKrcbOg,JRE End Of The World #2,2.0,2020-11-04T04:34:03Z,,False,186380,12648,23618
