,id,data
0,6540Nct67uw,"{0: 0.42078402710592744, 1: 0.5239268106176145, 3: 0.022889637137148172, 4: 0.009970384578011882, 2: 0.004875349069079018, 5: 0.012720689815420856, 6: 0.0, 7: 0.00014786587297899167}"
1,bvzs-VbEzds,"{3: 0.889647608806869, 4: 0.02155152606861574, 5: 0.009175098873561617, 6: 0.017256538215282412, 7: 0.0, 9: 0.0, 11: 3.063472077957652e-06, 10: 0.0, 8: 0.0, 2: 0.0, 0: 5.5142497403792845e-05, 1: 0.00011028499480736365}"
2,CHXIQhvI8cw,"{0: 0.0, 1: 0.9188845996269442, 2: 0.0015522773945153001, 4: 0.01000073796794184, 3: 0.002486188548264545, 5: 0.0010356998353567848, 7: 0.0, 8: 9.924396456739704e-05, 6: 0.0}"
3,2Wk6SL4ofG0,"{0: 0.9154858961942175, 1: 2.013534982159282e-05, 2: 1.2081209892822464e-05, 3: 1.409474487490403e-05, 4: 1.2081209892711442e-05, 5: 2.617595476794854e-05, 6: 1.610827985709662e-05}"
4,C7t_LxpzYTg,"{1: 0.9339496904614245, 2: 0.06057490398319969, 0: 0.00010336085996232036, 3: 0.003144346160959932, 4: 0.000337282806192829, 5: 2.4480203675403267e-05, 6: 4.352036208943311e-05, 7: 0.0, 8: 5.440045261151383e-06}"
5,Sc5oa6MqPDg,"{0: 0.0015240138608634943, 1: 0.2248218436310695, 3: 0.0, 4: 0.7694439477918822, 2: 0.0006257822277847547}"
6,GmHwG2p_esE,"{1: 0.46729124489502627, 2: 0.4937768849063714, 3: 0.006982789774117152, 4: 0.0027550350305226325, 5: 0.010981282082169145, 6: 0.011529180445080056}"
7,J68gMp9nVE0,"{0: 0.30970996102189013, 2: 0.0, 3: 0.6823989047924425, 1: 0.003911455561771429}"
8,th17n7kjBYg,"{0: 0.208833161669926, 1: 0.6636651268356153, 2: 0.012698980504382045, 3: 0.005519955100253382, 5: 0.05569912235797733, 4: 0.04633986887793832, 6: 0.00288949604968583, 7: 1.2335095196047696e-05}"
9,5PrLGhJnO7I,"{0: 0.9369620395294758, 1: 0.006054409909257798, 3: 0.027518164707133943, 2: 0.023174590980140672, 4: 0.0008775791815760492}"
10,C8M1ZRYt-2Q,"{0: 0.0016075679352026463, 1: 0.13652844821113913, 4: 0.8510305658727463, 3: 0.0015766531672179451, 2: 0.0048447857827398355, 5: 0.00015899023534954315}"
11,jH4dl2coorM,"{1: 0.9421017623547598, 2: 0.004677041449193772, 5: 0.021479634945080612, 3: 0.015031849423833482, 6: 0.008131640290270283, 4: 0.003972938476381027, 7: 0.0007490457157580677, 8: 0.0028523660856067945}"
12,surnFz_pZE4,"{0: 0.9050590421387041, 1: 0.005463645627285463, 2: 0.026350176826709763, 3: 0.018467901456572337, 4: 0.0012257987172570872}"
13,OaTKaHKCAFg,"{1: 0.7016155025352788, 2: 0.25930584489603414, 3: 0.0009237058291732547, 5: 0.009119138398648042, 6: 0.001918163594198219, 7: 0.013148068079085057, 8: 0.011512912228292947, 4: 0.0006603514012815115}"
14,4ugp6FBq6E0,"{0: 0.5284420838264029, 1: 0.0, 2: 0.19039363000064205, 3: 0.2767029626979537}"
15,t0rcLsoIKgA,"{0: 0.37696108616313534, 1: 0.0, 2: 0.6204256341708853}"
16,jdVso9FSkmE,"{0: 0.0, 1: 0.0021829167843017503, 2: 0.44142361101005, 3: 0.10732092078340458, 4: 0.3996687787599289, 5: 0.04010745771690175, 6: 0.0004773311368342359, 8: 0.0, 9: 0.0, 7: 0.0}"
17,qxOeWuAHOiw,"{1: 0.0024325485020704357, 2: 3.761672941342124e-05, 3: 1.8808364706766022e-05, 4: 0.8692097665568462, 5: 0.12342675866046766, 6: 0.00035422420197683824, 8: 0.000758604043171629, 9: 0.0015516900883052465, 7: 0.0007899513176825579}"
18,cz0ka4DuxPw,"{0: 0.0020859856431589834, 1: 0.00014942590567031382, 2: 0.9652973276671027, 3: 0.017632256869109186, 5: 0.001302993897446092, 4: 0.00846348329717242, 6: 0.0020501234257981338}"
19,BBCl9A9NlRw,"{2: 0.30518779984588196, 4: 3.977230356200234e-05, 5: 0.6917745904695616, 3: 1.4914613835848023e-05, 1: 0.0}"
20,s8tJ-R28HX8,"{0: 0.5799086202386096, 1: 0.3249639530568412, 2: 0.029272551393510496, 3: 0.062088958380230146, 4: 0.0002220613376001171, 5: 2.129355292056906e-05, 6: 1.5209680657546354e-05, 7: 6.996453102470906e-05}"
21,a_7s1EKhSwo,"{0: 0.0, 1: 0.0, 2: 0.4521961703207322, 3: 0.0022760174917543035, 4: 0.49786576720445386, 5: 0.016655970628181138, 6: 0.009387639359431488, 8: 0.007701147709803992, 7: 0.010290584003701392}"
22,-D2bNqpLbtE,"{0: 0.8925132802124838, 1: 0.03041537553489818, 2: 0.04162670306428634, 3: 0.021755570311347026, 4: 0.0, 5: 0.0012265751807584435}"
23,wC5TVZ3p_H4,"{2: 0.6645191829779162, 3: 0.3061939362381952, 4: 0.0009987929279779428, 6: 0.017135689096115986, 5: 0.0012496745639155593, 7: 0.004899292324441917, 8: 0.0008567844548057479, 1: 0.0}"
24,ckjwkCbGIu8,"{0: 0.8893546575438, 1: 0.023940182579681474, 2: 0.02069162974573205, 5: 0.0032595648774543795, 3: 0.0007378069148292754, 4: 0.011166212113981833}"
25,j-bSjzIPRro,"{1: 0.0, 2: 0.0026453962059184138, 3: 0.5096327291503215, 4: 0.4344283731316251, 5: 0.043774769156490936, 6: 0.0069705687098915725}"
26,gzAQ7SklDxo,"{1: 0.20241255044129322, 5: 0.03906188184688875, 7: 0.24624342734655436, 6: 0.00023377426756726605, 4: 0.08325600799867681, 3: 0.04467246426850316, 2: 0.38090819504686413}"
27,EURQLMDNdw8,"{2: 0.002568229851664291, 3: 4.253119499563005e-05, 4: 0.9305629167239204, 5: 0.029251647265898267, 6: 0.010652428531234187, 7: 0.014280666627407484, 8: 0.011754967970738717, 1: 0.0}"
28,Kv3dsPkTvhY,"{2: 0.0027106616994856843, 3: 3.193187865869725e-05, 4: 2.838389214126786e-05, 5: 4.2575838211735256e-05, 6: 0.6010324640766366, 7: 0.01137484477558987, 8: 0.3712613092070251, 9: 0.009686003193187565, 1: 0.0}"
