,id,top_words
0,C7t_LxpzYTg,"['soy', 'biden', 'drone', 'vaccin', 'yo', 'dog', 'trump', 'edamam', 'cook', 'elk']"
1,Sc5oa6MqPDg,"['vaccin', 'viru', 'pandem', 'infect', 'immun', 'mask', 'dexamethason', 'coronaviru', 'incident', 'antibodi']"
2,GmHwG2p_esE,"['religion', 'religi', 'psychedel', 'lsd', 'topic', 'sacr', 'drug', 'sexual', 'pornographi', 'student']"
3,5PrLGhJnO7I,"['biden', 'trump', 'donald', 'war', 'eisenhow', 'iraq', 'kamala', 'berni', 'sander', 'presid']"
4,C8M1ZRYt-2Q,"['skeleton', 'arti', 'fossil', 'speci', 'canin', 'luci', 'ethiopia', 'ancestor', 'neanderth', 'geolog']"
5,surnFz_pZE4,"['mammoth', 'biden', 'd-day', 'wolv', 'hunt', 'baculum', 'fossil', 'overproduc', 'bear', 'bone']"
6,KkjxSKrcbOg,"['biden', 'trump', 'pennsylvania', 'vote', 'poll', 'mail-in', 'win', 'florida', 'elect', 'ohio']"
7,OaTKaHKCAFg,"['facebook', 'attent', 'social', 'algorithm', 'voodoo', 'huxley', 'orwel', 'dilemma', 'media', 'ukulel']"
8,4ugp6FBq6E0,"['intellectu', 'victimolog', 'regret', 'jillian', 'publish', 'academ', 'biden', 'lockdown', 'narrat', 'parasit']"
9,t0rcLsoIKgA,"['snowden', 'biden', 'journalist', 'tran', 'martina', 'govern', 'brazil', 'trump', 'censorship', 'aclu']"
10,jdVso9FSkmE,"['carbon', 'dioxid', 'whitmer', 'vaccin', 'trump', 'bohemian', 'grove', 'polio', 'u.n', 'elect']"
11,qxOeWuAHOiw,"['donda', 'leader', 'gap', 'industri', 'design', 'disney', 'three-fifth', 'visionari', 'covet', 'deconstruct']"
12,cz0ka4DuxPw,"['wine', 'omen', 'pasta', 'winemak', 'cbd', 'son-in-law', 'bcn', 'mead', 'arizona', 'muay']"
13,BBCl9A9NlRw,"['austin', 'mcconaughey', 'miami', 'recalibr', 'yese', 'rehabilit', 'buyer', 'rever', 'homeless', 'hollywood']"
14,s8tJ-R28HX8,"['ldl', 'lipid', 'hdl', 'liver', 'atherosclerosi', 'metabol', 'polyunsatur', 'linol', 'meat', 'diet']"
15,a_7s1EKhSwo,"['wesley', 'texa', 'crenshaw', 'polic', 'traffick', 'tiger', 'houston', 'defund', 'countri', 'iowa']"
16,-D2bNqpLbtE,"['mask', 'coyot', 'dunhil', 'chicken', 'bread', 'viru', 'coop', 'omnidirect', 'treadmil', 'trump']"
17,ckjwkCbGIu8,"['mob', 'hobo', 'franchise', 'mushroom', 'comedi', 'club', 'crowd', 'york', 'carolin', 'comic']"
18,j-bSjzIPRro,"['narciss', 'narcissist', 'ego', 'ayahuasca', 'disord', 'grandios', 'psychedel', 'ufo', 'shaman', 'tobacco']"
19,ikJq6wcgrXI,"['vaccin', 'biden', 'ballot', 'imessag', 'spotifi', 'cuomo', 'kamala', 'abort', 'trump', 'io']"
20,gzAQ7SklDxo,"['greek', 'psychedel', 'wine', 'elluci', 'ancient', 'ergot', 'potion', 'sphinx', 'amanita', 'demet']"
21,EURQLMDNdw8,"['wolv', 'goggin', 'hunt', 'logan', 'tyson', 'elk', 'roy', 'courtney', 'bull', 'emma']"
22,DYpotjw_KTw,"['cuti', 'biden', 'homeless', 'unhous', 'hypochondria', 'trump', 'psychic', 'protest', 'union', 'epstein']"
23,Kv3dsPkTvhY,"['malaria', 'pesticid', 'ddt', 'mosquito', 'pest', 'chemic', 'fever', 'ant', 'herbicid', 'typhu']"
24,EED-LEWOCv0,"['meat', 'technolog', 'robot', 'human', 'vegan', 'anim', 'be', 'doll', 'eat', 'sex']"
25,t7uqHosIj4s,"['tran', 'societi', 'complianc', 'women', 'motherhood', 'gender', 'dishonest', 'anti-fascist', 'rowl', 'jk']"
26,9iOGfAAticY,"['neurolink', 'technolog', 'comment', 'ant', 'hendrix', 'clapton', 'wolfram', 'jimi', 'pull-up', 'eric']"
27,_Rl82OQDoOc,"['pardon', 'assang', 'court', 'govern', 'julian', 'surveil', 'warrant', 'patriot', 'polic', 'espionag']"
28,TDKYSLDq6es,"['insurg', 'trump', 'hawaiian', 'antifa', 'protest', 'polic', 'biden', 'defund', 'elect', 'crow']"
29,1mgN8r1mwvM,"['comanch', 'pig', 'austin', 'foxworthi', 'potteri', 'golf', 'ranch', 'comic', 'club', 'texa']"
30,fTPQ9KR5j8k,"['vaccin', 'curri', 'whataburg', 'emoji', '000', 'austin', 'tourett', 'vj', 'conflict', 'digit']"
31,hcPUoxTvw5g,"['conqueror', 'conquer', 'roy', 'alexand', 'forgiv', 'mindset', 'disastr', 'fight', 'excit', 'tyson']"
32,D7WUMXKV-FE,"['rupaul', 'dolli', 'cyru', 'guilt', 'vma', 'gopher', 'miley', 'dad', 'tick-tock', 'moss']"
33,KUCkrZKslr4,"['porn', 'sex', 'mule', 'mask', 'donkey', 'nikki', 'vitamin', 'kink.com', 'addict', 'respir']"
34,NY3Zg37nIHo,"['balloon', 'houdini', 'magic', 'frog', 'coral', '000', 'parachut', 'magician', 'trick', 'swallow']"
35,7eRR7j1OCOs,"['tock', 'tick', 'tick-tock', 'simul', 'comedi', '000', 'languag', 'elk', 'tattoo', 'detroit']"
